Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
405,0.6253858,6,2,1
411,0.6256173,15,3,1
228,0.6254629,4,2,1
345,0.6320988,10,2,1
525,0.6779321,5,1,1
454,0.6302469,12,1,1
526,0.6797839,5,1,1
337,0.6130401,7,2,1
507,0.6531636,5,1,1
497,0.6274691,7,2,1
318,0.6253086,5,3,1
400,0.6216821,20,3,1
452,0.6256173,8,2,1
435,0.6320988,11,2,1
497,0.6271605,14,2,1
555,0.6246914,8,1,3
466,0.6063272,7,2,8
418,0.6368055,10,2,1
340,0.6203704,13,3,1
277,0.6537809,8,3,1
