Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5102488,16,0,7
0,0.5168724,9,0,5
0,0.5034736,15,0,8
0,0.4937804,17,0,7
0,0.4938309,20,0,15
0,0.4820632,2,0,9
0,0.4844314,16,0,8
0,0.4965563,5,0,12
0,0.5142967,18,0,12
0,0.4941844,13,0,7
0,0.513612,16,0,6
0,0.4824205,14,0,8
0,0.4891377,20,0,7
0,0.4818425,18,0,10
0,0.5062196,19,0,17
0,0.5226132,19,0,7
0,0.4726973,19,0,20
0,0.4799588,20,0,9
0,0.4833764,6,0,8
0,0.4939076,14,0,6
