Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
86,0.5446373,18,12,1
182,0.5433064,6,9,1
218,0.5509131,7,10,1
116,0.535018,15,9,1
163,0.5521155,13,9,1
116,0.5488297,14,12,1
129,0.5438079,19,12,1
257,0.5695666,13,9,1
107,0.5577225,18,9,1
218,0.5454925,20,9,1
230,0.5505144,12,9,1
52,0.5459684,14,10,1
39,0.538188,19,9,1
88,0.5465471,16,15,1
189,0.5558192,20,10,1
10,0.5299962,18,15,1
0,0.5321631,19,15,20
76,0.5405093,16,13,16
181,0.5455247,19,9,1
85,0.5437436,20,9,2
,0.546019175,,,
