Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
20,0.6179784,8,3,1
54,0.6083333,20,2,1
28,0.6084877,12,2,1
22,0.6371914,20,1,8
56,0.6286265,3,1,3
19,0.5906636,3,2,1
23,0.5971451,11,1,1
48,0.6216821,13,2,1
23,0.6624228,7,1,1
49,0.6265432,18,1,1
55,0.6883488,12,2,1
31,0.629321,6,2,1
61,0.6300926,13,2,4
49,0.6179784,6,1,1
28,0.6445216,9,1,1
17,0.6112654,17,2,1
26,0.6253086,10,3,1
14,0.6093364,5,3,1
26,0.6094136,12,2,1
14,0.6721451,19,1,1
,0.62684028,,,
