Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
3,0.5574074,9,3,8
5,0.5761905,13,4,1
2,0.5654762,18,4,1
6,0.5974868,14,2,1
4,0.5669312,9,3,1
0,0.5814815,6,3,7
4,0.5794973,6,2,1
1,0.571164,9,6,10
7,0.5533069,15,14,1
0,0.5677249,19,14,13
1,0.5595238,4,2,18
0,0.5457672,19,2,2
2,0.5568783,9,7,1
2,0.5793651,9,4,6
0,0.5820106,7,4,2
10,0.5677249,13,6,1
1,0.5604497,13,20,3
4,0.5801587,7,3,1
4,0.5671958,13,4,1
0,0.5503968,17,4,2
