Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5185972,14,19,9
3,0.5480856,17,5,1
1,0.5459951,17,14,1
0,0.545198,17,14,12
0,0.5493394,18,14,2
2,0.5472943,17,8,12
0,0.5276892,20,8,2
0,0.5333542,6,8,3
0,0.5113379,10,8,3
0,0.5308012,13,8,2
0,0.5190027,3,8,3
0,0.5340549,4,8,2
1,0.5676453,19,8,1
3,0.5666159,12,11,1
1,0.5395526,17,7,1
0,0.5334309,13,7,3
3,0.5482391,11,10,1
1,0.5312126,18,18,5
0,0.5152668,4,18,3
0,0.5331101,13,18,2
