Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
382,0.5983334,8,3,1
380,0.6209491,19,4,1
291,0.5911343,16,4,1
388,0.6099306,20,1,1
458,0.5962346,8,4,1
375,0.6012732,15,3,1
291,0.599537,8,3,1
202,0.5882407,16,3,1
420,0.677855,16,3,1
362,0.6047222,11,2,1
376,0.619213,15,2,1
437,0.5914352,14,1,1
419,0.5971991,19,3,1
267,0.5943287,20,4,8
149,0.6001157,10,4,1
315,0.6053009,12,2,3
368,0.603588,11,4,1
445,0.6180556,12,2,1
324,0.6163194,16,2,1
446,0.5999614,4,2,1
