Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
2,0.5808642,7,4,1
9,0.5838658,5,3,5
21,0.6025771,9,4,7
15,0.6382639,16,3,1
4,0.5742207,10,7,1
10,0.6319213,20,4,1
11,0.5916667,7,3,5
18,0.5853009,10,1,1
7,0.5993827,10,5,1
17,0.5864583,16,2,1
4,0.6122454,16,16,2
23,0.5728704,19,3,3
28,0.5977546,8,3,1
19,0.6190818,13,4,1
9,0.5792361,14,4,1
24,0.6307639,13,2,1
13,0.5785494,11,2,1
3,0.5546296,18,9,2
16,0.6115587,14,3,1
3,0.5612963,17,14,2
,0,,,
