Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
37,0.5353853,18,16,1
87,0.5391003,18,15,1
163,0.5311392,19,11,1
0,0.528915,20,11,3
40,0.5329143,14,14,3
0,0.5180696,20,14,12
0,0.5434886,19,14,2
36,0.5342761,20,16,1
14,0.5369753,16,15,1
12,0.5314235,20,18,1
0,0.5313038,20,18,3
89,0.5314366,20,11,1
69,0.5545791,12,10,2
115,0.5320183,19,12,1
59,0.5376095,20,14,1
109,0.5377235,20,12,1
35,0.5368145,20,15,14
127,0.5361729,20,12,1
14,0.5269547,20,16,3
12,0.5387916,20,18,3
