Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5302534,9,0,11
0,0.5308458,20,0,5
0,0.5106142,17,0,5
0,0.5113582,5,0,16
0,0.5311995,20,0,2
1,0.5489326,20,20,4
0,0.5319068,18,20,5
0,0.5456074,7,20,3
0,0.5062463,13,20,20
0,0.5302763,9,20,2
0,0.5023929,9,20,5
0,0.5155883,19,20,8
0,0.5207461,12,20,3
1,0.543559,15,6,1
0,0.5431594,9,6,2
0,0.5259957,5,6,4
0,0.5050384,20,6,3
0,0.535526,18,6,4
0,0.5150417,4,6,4
0,0.5250174,6,6,10
