Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
136,0.5626056,15,11,1
169,0.5649893,20,11,1
249,0.5559092,15,6,1
202,0.5625414,15,10,1
254,0.5654211,19,9,1
149,0.5484136,18,9,1
106,0.5486249,18,9,1
156,0.5558265,20,12,1
51,0.5455017,12,9,1
227,0.5777254,16,9,1
130,0.5709233,18,9,1
186,0.5631522,19,6,2
26,0.5515276,7,7,1
204,0.5783455,16,7,1
198,0.5557301,16,9,1
299,0.5813446,19,6,1
173,0.5580587,11,9,1
174,0.5568737,17,9,1
222,0.5592069,15,6,1
152,0.5720211,15,9,1
