Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
353,0.5634527,11,5,1
360,0.5825499,7,5,1
310,0.5724029,15,7,1
44,0.5604686,16,5,1
285,0.5865871,16,7,1
215,0.5745052,20,5,1
123,0.5723714,10,6,1
266,0.57084,16,8,1
338,0.5733477,13,7,1
250,0.5760425,5,6,1
161,0.5809674,20,8,1
194,0.5555496,13,10,1
281,0.5742158,14,4,1
226,0.5653108,8,6,1
409,0.5717081,15,3,1
292,0.5747237,18,7,1
325,0.574641,6,4,1
188,0.5698696,13,8,1
258,0.5645963,19,6,9
351,0.5717022,12,4,1
