Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
298,0.6050265,7,4,1
263,0.5867725,13,4,1
203,0.6035714,13,5,1
228,0.571164,14,5,1
239,0.5988095,12,4,1
326,0.5862434,13,4,1
281,0.5830688,9,6,1
311,0.5923281,4,5,1
301,0.5801587,9,4,9
243,0.5962963,13,5,5
229,0.598545,13,4,1
300,0.5903439,12,4,1
274,0.5814815,14,4,1
274,0.591799,9,3,1
227,0.5705026,12,6,1
181,0.576455,13,7,1
201,0.5978836,14,4,1
289,0.5808201,5,5,1
271,0.6272486,15,3,1
291,0.6205027,8,4,1
