Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5486773,15,0,2
2,0.5546296,4,2,7
1,0.5656084,3,2,2
0,0.5342593,5,2,2
1,0.5395502,3,3,1
0,0.5607143,9,3,2
0,0.5513228,9,3,2
0,0.5608466,4,3,2
2,0.5570106,7,7,1
0,0.5630952,9,7,6
0,0.5354497,7,7,2
0,0.5361111,6,7,3
0,0.5301588,5,7,2
0,0.5681217,9,7,3
0,0.5289683,4,7,2
0,0.5297619,10,7,2
2,0.5490741,5,3,1
0,0.5334656,5,3,2
1,0.5455027,13,13,2
0,0.5333333,4,13,2
