Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5256613,12,0,14
1,0.5716931,8,15,3
5,0.5734127,13,2,1
2,0.5742064,6,11,2
6,0.5921957,11,4,1
0,0.5314815,12,4,3
0,0.560582,4,4,2
1,0.5424603,15,7,2
1,0.5670635,14,12,2
1,0.5931217,14,8,1
2,0.5701058,10,2,9
1,0.5691799,11,6,9
0,0.5423281,5,6,6
2,0.5671958,4,5,1
3,0.5883598,2,5,1
3,0.5559524,11,2,1
4,0.5633598,8,4,1
0,0.5484127,7,4,3
2,0.5664021,13,12,2
3,0.5604497,13,4,1
