Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.556746,15,6,1
0,0.5601852,4,6,2
0,0.5421958,6,6,3
1,0.555291,4,3,1
0,0.5280423,6,3,2
0,0.5768518,5,3,2
6,0.5719576,15,5,1
1,0.5452381,7,6,1
2,0.5357143,3,3,2
4,0.5801587,4,4,1
1,0.5407407,11,5,2
4,0.5542328,13,3,1
4,0.6232804,10,8,3
1,0.5677249,9,3,1
0,0.5347884,8,3,2
0,0.5837302,5,3,2
1,0.5396825,7,6,1
0,0.5324074,6,6,7
3,0.5550265,15,7,1
5,0.5466931,14,1,1
