Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
2,0.5374339,5,3,1
0,0.5067461,3,3,3
3,0.5539683,6,3,1
0,0.5294974,5,3,2
0,0.5349206,5,3,2
0,0.5175926,5,3,2
2,0.5326719,10,9,1
0,0.5615079,4,9,2
1,0.5554233,13,2,2
0,0.5247355,5,2,5
0,0.5019841,5,2,4
0,0.5361111,2,2,3
0,0.514418,4,2,3
0,0.5308201,4,2,3
0,0.5496032,2,2,11
0,0.5095238,4,2,3
0,0.5231482,2,2,3
0,0.5227513,12,2,3
0,0.5489418,15,2,2
0,0.5436508,3,2,3
