Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
171,0.5736772,14,6,1
187,0.5830688,12,6,2
243,0.5925926,8,5,6
39,0.5891534,11,5,4
217,0.6062169,12,5,1
203,0.5903439,15,4,1
224,0.603836,10,6,1
246,0.6056879,9,5,1
275,0.5797619,13,2,1
201,0.5984127,14,5,1
230,0.5843915,13,4,4
229,0.587037,12,4,2
267,0.6056879,10,4,8
228,0.5703704,15,3,1
241,0.5891534,15,5,1
313,0.5973545,7,2,5
243,0.5843915,14,5,1
141,0.5796297,11,7,6
235,0.5826719,8,4,1
190,0.6120371,12,5,1
