Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
113,0.5829365,6,7,1
178,0.5920635,7,3,4
94,0.5850529,13,7,2
183,0.5679894,15,4,1
231,0.60291,9,2,1
198,0.6240741,9,4,1
120,0.5794973,14,5,1
181,0.5888889,10,3,1
274,0.5931217,7,2,1
186,0.5951058,9,5,1
118,0.6037037,15,7,1
105,0.5821428,14,3,2
185,0.5850529,15,1,1
183,0.5886244,15,6,1
235,0.5919312,13,3,1
165,0.5875661,13,7,1
124,0.5727513,10,5,1
168,0.5816138,14,6,1
218,0.5902116,10,5,1
216,0.5927249,10,5,1
