Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
2,0.544709,5,10,2
0,0.5322751,15,10,2
0,0.5589947,4,10,2
1,0.5443122,9,3,1
0,0.5212963,12,3,3
0,0.5501323,5,3,2
0,0.5296296,4,3,2
0,0.5428572,4,3,2
0,0.5342593,8,3,2
1,0.5640212,12,12,1
1,0.5780423,13,13,2
0,0.5325397,13,13,3
4,0.5398148,2,1,1
2,0.5797619,7,2,1
1,0.5470899,5,5,1
0,0.5230159,1,5,3
0,0.5247355,12,5,2
0,0.5490741,15,5,2
1,0.5489418,5,4,1
0,0.5506614,13,4,2
