Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
169,0.5887566,8,5,2
120,0.5722222,15,5,1
89,0.5816138,15,7,1
180,0.5664021,10,6,1
217,0.5993387,15,5,1
217,0.6324074,13,2,1
284,0.5941799,8,4,1
103,0.5674603,12,3,1
274,0.646164,6,4,1
168,0.5851852,12,4,1
190,0.5833333,11,5,1
161,0.5648148,13,5,1
178,0.57209,5,3,1
200,0.5928571,13,6,1
232,0.5757936,7,6,1
226,0.5854498,10,6,1
262,0.5791005,15,5,1
185,0.569709,8,6,1
276,0.6046296,15,4,1
256,0.5734127,9,5,1
