Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
328,0.5822752,10,3,1
284,0.5973545,10,6,1
273,0.5973545,14,6,1
301,0.5929894,12,5,1
294,0.6055555,12,5,1
332,0.6444445,12,5,1
306,0.5798942,12,5,1
264,0.5949736,12,5,1
335,0.6097884,12,1,2
306,0.6039683,11,5,1
289,0.5998677,9,5,1
333,0.6107143,10,4,1
281,0.5891534,7,6,1
236,0.5915344,14,6,1
295,0.5816138,15,3,1
323,0.591799,7,5,1
330,0.5842593,6,5,1
343,0.6027778,6,4,1
283,0.5623016,12,4,1
343,0.5863757,9,5,1
