Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
347,0.6101852,15,3,1
319,0.5925926,12,3,1
270,0.5882275,8,5,1
296,0.5798942,13,5,1
266,0.6205027,8,5,1
295,0.5783069,9,5,1
359,0.5902116,8,4,1
333,0.5769841,12,3,1
364,0.5833333,12,5,1
418,0.5787037,12,4,1
297,0.5787037,15,6,1
286,0.5797619,6,4,1
247,0.5972222,15,4,1
366,0.5867725,6,4,1
352,0.5765873,10,3,1
335,0.5949736,12,3,4
271,0.5935185,7,5,1
293,0.5742064,14,6,1
296,0.6142857,8,3,1
341,0.5972222,7,4,1
