Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
167,0.5669312,12,7,1
237,0.5708995,8,6,1
285,0.6120371,7,4,1
246,0.6027778,9,4,1
219,0.6145502,8,5,1
214,0.5973545,9,6,1
115,0.5900794,8,7,1
265,0.5791005,11,3,1
242,0.5756614,9,4,1
151,0.5768518,13,6,1
215,0.580291,9,3,1
245,0.5738095,12,6,1
163,0.5772487,13,4,1
242,0.6018518,15,6,1
216,0.6017196,8,5,1
195,0.5854498,15,6,1
162,0.5887566,8,4,1
100,0.6025132,7,9,1
196,0.5634921,9,4,1
196,0.5765873,8,3,1
