Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
274,0.5841269,9,4,1
276,0.6026455,10,5,1
276,0.5767196,8,7,2
241,0.5769841,12,6,1
314,0.6018518,14,4,1
339,0.5839947,11,5,1
297,0.591799,14,4,1
302,0.6075397,15,3,1
303,0.580291,12,3,1
351,0.5912699,8,4,1
329,0.5813492,7,4,7
298,0.5859789,11,4,1
320,0.6068783,8,5,1
310,0.5850529,14,4,1
172,0.573545,13,4,1
316,0.5765873,14,4,1
278,0.5896825,12,5,1
312,0.6133598,15,4,1
291,0.5783069,8,5,1
352,0.5862434,10,4,1
