Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
168,0.5716931,12,4,1
219,0.5915344,12,3,1
181,0.5796297,9,5,5
196,0.5656084,13,6,1
109,0.5858465,6,3,1
258,0.5916667,7,3,1
278,0.5902116,15,5,1
241,0.5714286,15,6,1
283,0.5863757,8,3,1
183,0.6101852,12,6,1
215,0.5883598,9,4,1
225,0.6099206,11,5,1
246,0.573545,10,6,1
212,0.5887566,11,6,1
146,0.5839947,11,6,1
223,0.573545,14,6,1
225,0.5818783,7,5,1
298,0.5875661,12,6,1
140,0.5719577,7,4,1
249,0.5875661,12,4,1
