Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
203,0.5818783,14,4,1
245,0.5751323,13,4,1
208,0.5866402,14,6,9
221,0.5785714,12,5,1
213,0.6216931,13,5,1
257,0.5747355,10,3,1
227,0.5976191,6,6,3
219,0.5992063,10,4,1
230,0.5911376,12,5,1
286,0.6194444,13,4,1
229,0.5780423,5,3,1
228,0.596164,10,5,1
228,0.5850529,11,5,1
266,0.5859789,14,2,1
303,0.5887566,12,5,2
238,0.5751323,14,6,1
243,0.590873,11,5,1
290,0.5992063,9,4,1
283,0.5781746,12,5,1
239,0.5916667,15,5,1
