Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
178,0.5698413,11,5,1
184,0.5820106,9,5,1
186,0.5798942,10,3,1
186,0.5746032,14,4,1
190,0.6011904,13,5,2
180,0.5712963,15,5,1
240,0.5839947,6,5,1
196,0.5797619,15,4,1
171,0.6056879,13,4,1
219,0.5842593,10,6,1
170,0.5753968,13,6,1
286,0.5806878,8,3,1
204,0.6055555,5,3,1
254,0.5777778,9,4,1
215,0.6206349,14,4,1
176,0.6362434,15,5,2
164,0.6373016,12,4,1
82,0.5839947,13,7,1
111,0.5944445,9,5,1
9,0.5667989,15,12,2
