Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
2,0.5511905,12,3,1
2,0.5550265,10,4,1
2,0.5375661,12,5,1
4,0.5670635,15,11,1
2,0.5670635,10,6,1
0,0.5664021,10,6,2
0,0.5478836,4,6,2
0,0.5228836,15,6,3
0,0.5433862,6,6,2
1,0.5604497,11,8,1
0,0.5433862,8,8,2
0,0.5497354,5,8,3
3,0.5981482,9,6,1
0,0.5448413,6,6,2
1,0.5417989,5,4,1
1,0.5551587,7,7,1
2,0.5626984,4,3,1
1,0.5415344,12,15,10
4,0.6025133,10,7,2
2,0.5371693,7,2,1
