Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
283,0.5871693,7,4,1
244,0.5834656,7,6,1
295,0.5792328,9,2,1
53,0.5814815,15,6,1
249,0.5757936,15,5,1
42,0.5953704,8,6,1
289,0.6062169,14,5,1
108,0.556746,9,5,1
156,0.5887566,10,6,1
67,0.5588624,5,4,1
177,0.6035714,10,5,1
305,0.6231481,8,3,1
231,0.5846561,11,6,1
194,0.5726191,14,4,1
143,0.5863757,13,6,1
186,0.5919312,15,6,1
231,0.5699735,13,3,1
228,0.5751323,14,5,1
209,0.5825397,15,6,1
215,0.5912699,10,4,1
