Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
277,0.607672,9,5,1
307,0.5850529,11,5,1
317,0.5765873,12,4,1
296,0.5968254,9,3,1
314,0.6153439,10,4,1
314,0.6055555,8,3,1
337,0.5939153,10,5,1
308,0.5830688,11,4,1
332,0.5718254,11,3,1
331,0.577381,12,4,1
342,0.5769841,10,5,1
319,0.5875661,13,5,1
282,0.589418,7,4,1
280,0.5920635,11,5,1
255,0.6130952,8,6,1
210,0.5747355,13,6,1
353,0.571164,15,5,1
286,0.6101852,7,2,1
260,0.5816138,6,5,1
312,0.5625662,13,3,1
