Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
167,0.6074074,12,6,1
252,0.6100529,14,3,1
136,0.5760582,15,5,1
75,0.5949736,10,4,1
169,0.5960317,14,5,1
182,0.6042328,14,5,1
171,0.6056879,10,3,1
94,0.5880952,10,6,1
75,0.5783069,9,5,1
212,0.5943122,10,5,1
178,0.5841269,11,6,6
116,0.5796297,8,5,1
156,0.5825397,12,3,1
126,0.5914021,12,6,1
1,0.5907407,13,7,2
218,0.5974868,15,4,1
160,0.5956349,12,5,1
118,0.5929894,13,5,1
236,0.5837302,15,4,12
185,0.6132275,11,4,3
