Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5513228,9,8,6
0,0.5493386,9,8,2
0,0.5693122,13,8,2
0,0.5671958,6,8,2
0,0.547619,8,8,2
2,0.5478836,12,8,1
4,0.5537037,13,7,1
0,0.5366402,5,7,2
0,0.5366402,15,7,3
1,0.5582011,14,10,1
2,0.5547619,6,5,2
3,0.5439153,15,6,2
4,0.5698413,15,3,7
0,0.5589947,4,3,2
0,0.5367725,6,3,3
0,0.5755291,4,3,2
3,0.5712963,9,5,1
0,0.5613757,7,5,2
0,0.5322751,10,5,2
2,0.5616402,6,6,12
