Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
191,0.594709,13,5,1
116,0.5724868,11,7,1
217,0.6156085,15,5,7
239,0.6078042,12,3,1
118,0.5896825,10,5,1
182,0.6035714,13,4,1
233,0.6100529,9,3,1
158,0.5916667,15,6,1
183,0.5923281,12,7,1
292,0.5962963,10,3,6
197,0.5996032,5,3,1
178,0.573545,7,6,1
99,0.5736772,14,7,1
182,0.5903439,15,1,1
148,0.5654762,15,5,1
172,0.5949736,10,7,1
172,0.5880952,14,4,1
162,0.5742064,14,5,1
146,0.5968254,13,4,10
228,0.5832011,10,4,1
