Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
251,0.5755291,10,2,1
239,0.5867725,13,4,1
261,0.568254,12,6,1
190,0.5980159,13,6,2
179,0.572619,13,6,1
233,0.5895503,14,5,1
284,0.585582,15,3,1
225,0.5832011,8,3,1
140,0.5677249,14,5,1
162,0.587037,11,7,1
153,0.5724868,15,5,1
207,0.5796297,13,4,1
103,0.588492,11,6,1
184,0.5742064,5,6,1
122,0.5632275,9,7,1
246,0.5921957,12,5,1
139,0.5716931,8,6,1
322,0.5693122,6,2,1
259,0.5702381,10,4,1
154,0.5882275,13,1,2
