Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
276,0.5944445,12,5,1
344,0.593254,6,3,1
340,0.5929894,14,4,1
342,0.5916667,12,4,4
252,0.5993387,13,5,1
276,0.5760582,12,5,1
282,0.5780423,14,4,1
308,0.5956349,8,4,1
287,0.5706349,15,2,4
245,0.5825397,15,5,1
277,0.5980159,6,2,9
293,0.5972222,10,4,1
260,0.6134921,7,4,1
263,0.5958995,6,5,1
312,0.6154762,8,3,1
271,0.5895503,10,5,1
307,0.5898148,15,3,1
134,0.5779101,12,6,1
243,0.5781746,15,6,1
170,0.5944445,14,8,1
