Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
155,0.6018518,15,4,1
138,0.5906085,13,4,2
239,0.5674603,8,4,1
148,0.6003968,9,5,1
182,0.6051587,10,5,1
92,0.5838624,11,6,1
194,0.6157408,12,6,1
186,0.6092592,15,6,1
225,0.5755291,13,4,1
149,0.5907407,12,7,1
175,0.5883598,7,6,1
179,0.5907407,12,4,1
226,0.5731481,14,5,1
281,0.606746,12,3,1
263,0.5820106,14,4,1
151,0.6054233,13,6,1
202,0.5858465,7,3,1
121,0.5775132,15,4,5
258,0.6050265,12,3,1
215,0.6130952,12,5,1
