Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
394,0.6017196,5,3,1
303,0.5853174,12,4,1
350,0.6047619,5,3,1
328,0.5784392,14,4,1
346,0.5834656,11,5,1
299,0.6089947,9,3,1
314,0.5837302,7,5,1
293,0.5781746,9,5,1
378,0.5910053,5,1,1
254,0.5734127,7,6,1
297,0.6100529,8,4,1
330,0.6141534,9,4,1
195,0.5678571,13,7,1
292,0.5882275,12,5,1
315,0.5757936,10,5,1
332,0.5978836,15,4,1
337,0.6138889,9,4,1
320,0.6085979,14,6,1
264,0.5776455,12,4,1
328,0.5765873,13,5,1
