Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
209,0.6113757,12,4,1
270,0.6002645,14,3,1
217,0.5801587,9,7,1
215,0.6066138,12,6,1
117,0.5874339,11,6,1
96,0.5728836,14,7,1
276,0.5801587,13,5,1
243,0.5858465,11,5,1
259,0.5962963,10,2,1
208,0.5978836,14,6,1
171,0.5645503,14,7,5
242,0.6206349,11,4,1
224,0.6157407,13,3,1
256,0.5962963,13,5,1
142,0.6421958,9,6,1
290,0.5838624,14,5,1
108,0.5777778,11,5,1
177,0.593254,11,6,1
251,0.5944445,7,5,1
258,0.5828042,12,5,1
