Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
176,0.5888889,11,6,2
184,0.5781746,14,6,1
118,0.5892857,4,6,1
128,0.588492,10,6,1
129,0.5871693,7,3,1
248,0.5789683,12,5,1
162,0.5837302,14,6,1
161,0.5828042,15,6,1
153,0.5837302,8,6,1
278,0.5787037,9,4,1
240,0.587037,14,5,1
95,0.5724868,11,7,1
216,0.619709,12,4,1
83,0.6010582,15,6,5
163,0.5677249,11,4,1
142,0.5929894,5,4,1
164,0.6017196,13,5,1
188,0.5738095,9,6,1
172,0.585582,8,5,1
204,0.5980158,14,6,1
