Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
288,0.6166667,11,4,1
331,0.5912699,5,5,1
298,0.5837302,9,4,1
323,0.5722222,11,3,1
266,0.5742064,13,3,1
249,0.5810847,7,4,1
319,0.6018518,15,4,1
304,0.5847884,14,4,1
257,0.5851852,9,5,1
246,0.6242064,10,5,1
338,0.5814815,10,4,1
337,0.5993387,8,4,1
340,0.6458995,13,4,1
345,0.6051587,12,5,1
320,0.6369048,10,3,1
317,0.5861111,9,5,2
371,0.5742064,9,4,1
251,0.5757936,14,6,1
322,0.5996032,10,4,1
294,0.6003968,6,5,1
