Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
4,0.5551587,5,3,1
0,0.5369048,3,3,2
3,0.5383598,6,4,1
1,0.5638889,6,5,2
1,0.5998677,6,7,2
1,0.560582,5,15,2
4,0.5600529,11,3,12
0,0.5486773,3,3,3
1,0.5596561,7,13,2
3,0.5671958,15,8,1
2,0.557672,11,6,1
1,0.5730159,12,12,2
0,0.5489418,4,12,2
4,0.5626984,9,3,1
0,0.5596561,2,3,2
2,0.5633598,11,5,1
1,0.5730159,15,13,2
0,0.5585979,8,13,2
2,0.5468254,12,10,1
0,0.5252646,6,10,3
