Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
272,0.5898148,9,3,1
114,0.5847884,15,7,1
214,0.5969577,7,5,1
181,0.6006614,9,4,1
172,0.6208994,12,5,1
55,0.575,12,5,1
156,0.5731481,13,4,1
201,0.5751323,15,5,1
157,0.5748677,9,6,1
239,0.6062169,5,3,1
145,0.564418,8,4,1
274,0.6165344,9,3,1
210,0.5747355,13,4,1
296,0.591799,9,4,5
136,0.568783,6,3,1
209,0.5866402,9,4,1
99,0.5968254,11,4,1
173,0.601455,15,5,1
193,0.5986773,14,5,1
188,0.5899471,5,5,1
