Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
186,0.5632275,15,5,1
114,0.5839947,4,4,1
161,0.5785714,10,6,1
233,0.5793651,15,6,1
213,0.5910053,15,5,1
256,0.5694444,13,2,1
197,0.590873,6,2,1
159,0.5935185,15,6,1
198,0.5846561,14,4,5
279,0.5923281,8,3,1
168,0.6056879,15,4,1
242,0.5984127,11,4,1
214,0.6390212,8,6,2
246,0.5726191,10,4,1
177,0.5791005,13,2,1
125,0.5648148,15,8,6
113,0.5615079,14,6,1
157,0.5973545,15,3,1
185,0.5670635,4,7,1
232,0.585582,13,3,1
