Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
224,0.6247355,11,2,1
222,0.5801587,12,4,1
168,0.6279101,8,4,1
227,0.6083333,11,3,1
216,0.5883598,6,4,1
124,0.5791005,15,3,1
117,0.5933862,15,6,1
158,0.5743386,6,3,1
159,0.5866402,9,3,2
230,0.6125661,9,4,1
215,0.615873,13,4,1
181,0.5797619,13,6,1
258,0.5797619,9,4,5
212,0.6092592,15,3,1
301,0.6111111,7,3,1
195,0.5779101,10,5,1
141,0.5956349,15,4,1
237,0.5933862,12,2,4
171,0.573545,13,6,7
261,0.5847884,12,2,1
