Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
201,0.5753968,6,4,1
124,0.5712963,8,5,1
132,0.6066138,12,4,1
182,0.5794973,7,5,1
139,0.5641534,13,7,4
183,0.5865079,15,5,1
117,0.5878307,10,6,1
135,0.5821428,10,4,1
173,0.5933862,11,5,1
132,0.6138889,13,6,1
229,0.5859789,15,5,1
109,0.6005291,13,4,1
236,0.5798942,11,3,1
186,0.5944445,13,3,1
164,0.5816138,12,5,10
155,0.5845238,13,6,3
137,0.6058201,10,4,1
155,0.5674603,15,6,1
100,0.6096561,13,5,1
147,0.5945767,4,4,1
