Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5322751,6,0,2
0,0.4903439,5,0,3
3,0.5541005,4,3,1
0,0.5398148,8,3,3
1,0.5555556,5,6,2
2,0.5414021,4,3,1
0,0.5388889,7,3,3
0,0.5449736,4,3,2
0,0.5109788,4,3,2
0,0.5429894,3,3,2
0,0.5489418,3,3,2
0,0.5347884,3,3,2
0,0.5230159,9,3,3
1,0.5806878,3,3,1
0,0.5604497,5,3,2
0,0.5228836,4,3,3
0,0.5035715,5,3,3
1,0.5650794,5,4,1
0,0.5494709,6,4,2
0,0.5458995,5,4,2
