Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
285,0.5801587,11,3,1
151,0.6108466,11,4,3
158,0.5902116,15,6,1
148,0.6121693,13,6,1
273,0.5808201,10,5,1
228,0.5966931,15,4,1
263,0.5744709,11,4,1
203,0.5998677,9,5,1
181,0.6120371,6,4,1
213,0.5718254,6,6,1
322,0.5809524,12,3,1
278,0.6293651,9,3,1
208,0.5907407,12,5,3
186,0.5748677,11,3,1
255,0.593254,10,5,1
262,0.5796297,12,4,1
245,0.581746,9,5,1
304,0.6059524,14,4,1
205,0.6068783,10,5,1
231,0.5886244,12,6,1
