Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
335,0.5953704,9,2,1
266,0.5911376,12,6,1
327,0.6165344,8,4,1
293,0.5943122,13,4,1
260,0.6108466,9,6,1
304,0.5992063,8,5,1
278,0.5960317,9,4,1
278,0.5892857,4,4,1
343,0.6101852,6,5,3
262,0.5783069,14,6,1
211,0.5915344,10,5,1
267,0.5978836,11,4,1
276,0.5809524,13,4,1
304,0.6112434,10,4,1
304,0.5834656,15,5,1
330,0.5903439,12,5,1
299,0.5808201,12,4,1
248,0.6223545,15,4,1
319,0.573545,11,5,1
256,0.5849206,12,5,1
