Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
387,0.6088625,8,4,1
381,0.6259259,14,2,1
295,0.5723545,10,5,1
362,0.6034392,15,5,1
348,0.5787037,6,3,1
313,0.5656084,15,5,1
351,0.6002645,11,5,1
320,0.6015873,8,3,1
354,0.5876984,14,3,1
393,0.5780423,11,4,1
407,0.5793651,12,3,1
258,0.5940476,9,5,1
311,0.5936508,8,6,1
331,0.5760582,10,4,1
367,0.6100529,8,3,1
312,0.5970899,8,5,1
250,0.5797619,11,4,1
366,0.5761905,11,5,1
304,0.5837302,10,4,1
304,0.5925926,9,4,1
