Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5915344,12,12,3
1,0.57209,5,4,1
1,0.5583333,14,6,1
2,0.5609788,5,4,2
1,0.5359789,14,14,2
1,0.5624338,12,8,1
0,0.5267196,14,8,3
1,0.5548942,5,5,1
5,0.6242064,7,6,1
0,0.5603175,5,6,3
7,0.5847884,10,3,1
0,0.5345238,13,3,2
0,0.5482804,12,3,2
0,0.5273809,6,3,2
0,0.5482804,5,3,2
0,0.5640212,5,3,2
0,0.5326719,1,3,3
1,0.5578042,6,3,1
0,0.5358466,5,3,2
4,0.5896825,5,5,1
