Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
6,0.5832011,12,7,1
0,0.5653439,11,7,2
0,0.5136243,4,7,3
0,0.533201,8,7,2
1,0.5297619,13,5,1
0,0.5174603,7,5,3
1,0.5543651,5,3,1
3,0.5544974,7,3,1
1,0.5641534,15,15,2
0,0.5202381,5,15,2
0,0.5268518,5,15,6
0,0.5588624,4,15,4
3,0.5486773,12,4,1
0,0.5592592,3,4,3
0,0.5652117,5,4,3
1,0.5600529,4,4,2
2,0.5445767,5,4,2
2,0.5503968,4,13,1
0,0.5236772,6,13,2
1,0.5239418,14,8,1
