Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
207,0.6078042,9,4,5
172,0.6042328,11,5,1
293,0.6068783,5,4,1
167,0.5871693,14,6,1
181,0.5801587,10,5,1
113,0.5939153,14,5,2
274,0.5941799,12,4,1
305,0.5859789,13,4,1
220,0.6107143,6,4,1
335,0.603836,11,4,1
138,0.5825397,13,7,1
305,0.5771164,11,4,7
247,0.6142857,8,4,1
270,0.6259259,9,3,1
187,0.5826719,7,7,1
225,0.6087301,15,4,1
294,0.5878307,11,4,1
298,0.5869048,14,4,1
283,0.5903439,9,4,1
261,0.5902116,9,5,1
