Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5633598,10,6,9
4,0.5583333,5,9,1
3,0.5533069,7,7,4
6,0.5739418,10,3,1
0,0.5892857,6,3,2
0,0.5301588,13,3,7
1,0.5556878,10,4,1
1,0.539418,14,14,2
2,0.5712963,15,4,2
3,0.5832011,13,7,2
4,0.5780423,12,7,1
2,0.537963,9,2,1
3,0.553836,9,4,9
1,0.5391535,7,14,3
3,0.565873,8,4,2
2,0.5570106,11,3,1
0,0.5460317,13,3,4
5,0.5513228,2,2,1
3,0.5899471,9,6,1
0,0.5484127,14,6,8
