Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
148,0.6109788,13,6,1
228,0.5820106,10,6,1
96,0.6046296,9,5,1
150,0.5812169,6,3,1
219,0.5986773,8,6,1
248,0.5742064,12,6,1
180,0.581746,12,6,1
228,0.587963,13,5,1
235,0.5906085,15,4,1
295,0.591799,10,4,1
267,0.5928571,7,5,1
251,0.5818783,8,4,1
244,0.5873016,9,3,1
245,0.5937831,7,4,1
257,0.5837302,9,6,1
258,0.5620371,11,3,1
278,0.6285715,6,5,2
299,0.5808201,10,5,1
204,0.5919312,10,3,1
227,0.5716931,11,4,1
