Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
246,0.5781746,14,5,1
258,0.6123016,7,2,1
270,0.5866402,14,4,1
157,0.5833333,14,6,2
251,0.6128307,11,4,6
236,0.6017196,12,6,1
241,0.5993387,15,5,1
330,0.5851852,12,4,1
114,0.5964286,8,5,1
194,0.5887566,6,4,1
225,0.5716931,9,5,1
188,0.578836,8,7,1
305,0.6210318,7,4,1
313,0.5955026,10,5,1
269,0.5801587,14,3,1
213,0.5775132,12,3,1
167,0.5742064,15,4,1
129,0.5943122,12,5,3
239,0.6005291,15,4,2
248,0.5847884,13,5,1
