Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5243386,11,0,3
0,0.5473545,3,0,2
0,0.4919312,4,0,4
5,0.553836,4,2,1
0,0.5124339,6,2,3
2,0.5544974,6,3,4
2,0.5406085,4,3,1
2,0.5559524,4,3,1
0,0.5316138,4,3,3
0,0.5583333,6,3,2
1,0.5620371,9,5,1
1,0.5362434,7,4,2
0,0.5244709,4,4,3
1,0.5502645,5,3,1
0,0.5629629,4,3,3
1,0.5743386,5,2,1
0,0.5048942,3,2,4
0,0.537037,10,2,2
0,0.5119048,2,2,4
1,0.5329365,6,6,1
