Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5470899,13,4,4
0,0.5571429,2,4,3
2,0.5510582,11,6,1
1,0.5294974,3,15,3
0,0.5404762,12,15,2
3,0.5566137,6,5,2
1,0.5306878,11,3,1
0,0.5335979,8,3,2
0,0.5519841,13,3,3
0,0.5392857,7,3,2
0,0.5585979,8,3,4
1,0.5187831,14,15,6
0,0.5232804,3,15,2
0,0.5634921,8,15,7
1,0.5371693,7,7,2
0,0.5387566,4,7,3
0,0.5325397,5,7,3
0,0.5362434,6,7,2
3,0.5736772,14,4,1
0,0.5440476,15,4,2
