Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
252,0.5742064,15,4,1
298,0.5734127,8,4,1
328,0.5849206,11,4,1
343,0.6071429,7,5,1
288,0.5845238,7,3,1
312,0.617328,13,6,1
300,0.5835979,10,4,1
363,0.5798942,6,2,1
310,0.5825397,10,5,1
289,0.5910053,14,4,1
289,0.6070106,7,6,1
330,0.5924603,13,6,1
366,0.5755291,8,4,1
334,0.6018518,14,4,1
224,0.5847883,11,5,1
349,0.5779101,8,5,1
287,0.5928571,11,5,1
308,0.5916667,13,5,1
242,0.5851852,13,6,1
315,0.6,10,4,1
