Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5629629,2,4,1
0,0.5558201,14,4,2
1,0.5607143,14,13,2
1,0.553836,12,11,1
0,0.5621693,5,11,2
2,0.5456349,5,3,1
2,0.5466931,5,4,1
2,0.5604497,9,9,1
9,0.5813492,10,4,1
7,0.5626984,3,2,1
0,0.5267196,6,2,3
4,0.5710317,6,3,1
1,0.5624338,5,2,1
3,0.5767196,6,2,1
1,0.5694444,6,2,2
1,0.5494709,7,12,2
1,0.5371693,15,3,1
0,0.5402117,6,3,2
1,0.5420635,15,14,3
0,0.5440476,12,14,3
