Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
259,0.5972222,12,4,1
154,0.6026455,9,6,1
170,0.5948412,7,3,1
221,0.5839947,10,5,1
261,0.6095238,7,3,1
220,0.6078042,13,5,1
276,0.5769841,15,4,7
285,0.5981482,9,4,1
156,0.5769841,15,5,2
183,0.6107143,14,5,1
251,0.5760582,12,5,1
270,0.611508,9,3,1
207,0.6142857,10,6,2
240,0.6268519,7,5,1
265,0.5828042,15,1,1
171,0.5876984,15,6,1
204,0.6007937,11,6,12
176,0.5843915,14,6,1
202,0.6119047,13,4,1
244,0.5862434,11,6,1
