Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
51,0.5723545,15,7,2
174,0.5719576,14,4,1
130,0.6033069,15,7,1
155,0.6194444,10,5,10
137,0.6018518,15,5,1
154,0.5912699,10,5,1
246,0.6157407,15,3,1
125,0.5752646,14,7,2
47,0.6361111,14,6,3
160,0.6088624,6,3,4
117,0.573545,12,4,7
215,0.5921957,10,3,1
200,0.5734127,10,5,5
100,0.6124339,15,6,2
129,0.6126984,13,6,1
217,0.5842593,6,6,1
185,0.5714285,9,6,9
147,0.5649471,15,5,7
164,0.5886244,13,5,2
75,0.573545,13,6,9
