Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
247,0.5841269,8,4,1
306,0.5895503,7,4,1
264,0.581746,9,6,1
358,0.5828042,7,4,1
287,0.5800264,15,6,1
318,0.5816138,10,3,12
251,0.5742064,15,3,1
267,0.5824074,13,5,1
197,0.5781746,14,6,1
239,0.5907407,11,4,1
254,0.5990741,12,4,5
289,0.5791005,12,3,1
239,0.5769841,5,3,1
264,0.5793651,13,3,1
231,0.5982804,8,5,1
293,0.5976191,10,4,1
239,0.5810847,9,7,1
223,0.5968254,12,5,1
266,0.5863757,9,4,1
307,0.5822752,8,3,1
