Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
178,0.5951058,12,4,1
144,0.6022487,13,5,1
253,0.5763227,7,5,1
188,0.5825397,13,5,4
235,0.5941799,7,4,1
229,0.617328,11,5,1
169,0.5824074,6,5,1
271,0.6058201,6,4,1
119,0.5694444,14,4,1
221,0.6043651,15,3,10
295,0.6234127,15,5,1
192,0.5898148,14,5,1
319,0.5920635,11,4,1
271,0.622619,6,4,8
143,0.573545,15,5,1
163,0.5775132,13,5,1
178,0.5853175,8,4,1
220,0.5960317,14,4,1
215,0.5845238,9,2,1
205,0.6003968,6,5,1
